"183";"100940/86";"9"
"183";"127420/98";"8"
"183";"13440/86";"7"
"183";"1351394403";"8"
"183";"140274871";"8"
"183";"15019/87";"7"
"183";"16560/87";"10"
"183";"16785/87";"7"
"183";"18128/87";"7"
"183";"18678/87";"7"
"183";"19973/88";"6"
"183";"203671/03";"8"
"183";"2070567842";"8"
"183";"23950/88";"6"
"183";"30623/89";"7"
"183";"36388/90";"8"
"183";"40052/90";"7"
"183";"40614/2098";"8"
"183";"71837/93";"8"
"183";"75666/95";"8"
"183";"77556/94";"7"
"183";"80651/94";"7"
"183";"8401422825";"9"
"183";"8440630794";"7"
"183";"847223973X";"9"
"183";"8476409419";"8"
"183";"8497890663";"10"
"183";"8585362693";"9"
"183";"8585443464";"9"
"183";"9714511081";"9"
"183";"9721028800";"7"
"183";"9721033561";"7"
"183";"9721035130";"8"
"183";"9722013831";"6"
"183";"9722020242";"9"
"183";"9722105507";"8"
"183";"9722113747";"9"
"183";"9722319914";"8"
"183";"9722330950";"9"
"183";"9722902628";"7"
"183";"972370403X";"8"
"183";"9723706504";"8"
"183";"9724114384";"7"
"183";"9724128725";"8"
"183";"9724129411";"9"
"183";"9724131009";"7"
"183";"9724502023";"9"
"183";"9724508552";"8"
"183";"9724509524";"8"
"183";"97245146089";"9"
"183";"9726080630";"10"
"183";"9726081327";"8"
"183";"9726081378";"9"
"183";"9726081424";"9"
"183";"9726101034";"7"
"183";"9726593855";"9"
"183";"9726653525";"9"
"183";"9726991366";"8"
"183";"9726993474";"8"
"183";"9727100112";"9"
"183";"9727110541";"8"
"183";"9728305729";"8"
"183";"9728313039";"8"
"183";"9728440006";"8"
"183";"9728440030";"9"
"183";"9728440057";"7"
"183";"9728440138";"9"
"183";"9728440170";"9"
"183";"9728440200";"9"
"183";"9728440324";"9"
"183";"9728440383";"8"
"183";"9728440405";"9"
"183";"9728440456";"7"
"183";"9728440642";"9"
"183";"9728440693";"7"
"183";"9728440804";"9"
"183";"9728487002";"10"
"183";"9728487142";"10"
"183";"9728487150";"8"
"183";"9728487266";"6"
"183";"9728487304";"6"
"183";"9728487355";"7"
"183";"9728487576";"6"
"183";"9728487606";"6"
"183";"9728487614";"8"
"183";"9728515227";"9"
"183";"9729720495";"9"
"183";"972975831X";"7"
"183";"9729817715";"6"
"183";"9729852405";"8"
"183";"9748440537";"8"
"242";"0553278223";"10"
"242";"3150000335";"10"
"242";"3257202083";"10"
